collage_id;brandName;brandId;description;charming_no;cheerful_no;confident_no;contemporary_no;cool_no;corporate_no;daring_no;different_no;distinctive_no;downToEarth_no;dynamic_no;exciting_no;familyOriented_no;feminine_no;friendly_no;glamorous_no;goodLooking_no;hardWorking_no;highQuality_no;honest_no;imaginative_no;independent_no;innovative_no;intelligent_no;leader_no;masculine_no;original_no;outdoorsy_no;real_no;reliable_no;rugged_no;secure_no;sentimental_no;sincere_no;smallTown_no;smooth_no;spirited_no;successful_no;technical_no;tough_no;trendy_no;unique_no;upToDate_no;upperClass_no;western_no;wholesome_no;young_no
1257;A and W Root Beer;5;Generally it makes me think of parties, birthday parties with my family and other get together's.;1;2;2;2;2;2;2;2;4;2;1;1;3;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;2;1;1;1;4;2;3;1;2;2;1;1;1;2;1;1;1;2;1
1331;A and W Root Beer;5;fun, childhood, joy, and family. all things that people are around while enjoying aw ;2;5;4;1;4;2;4;3;4;5;5;5;5;1;4;2;2;5;4;5;2;2;2;2;3;2;4;5;2;5;5;4;3;3;3;2;4;5;1;2;2;1;3;1;4;5;4
1427;A and W Root Beer;5;Food and fun;5;4;4;4;5;1;2;4;4;5;4;5;5;2;5;4;5;5;4;4;5;4;4;4;4;2;5;2;5;4;2;4;4;4;4;4;3;4;2;2;2;5;4;1;3;5;3
1497;A and W Root Beer;5;All American;5;4;5;2;5;2;1;1;4;5;1;3;5;1;5;2;5;5;5;4;1;4;1;4;5;3;2;4;5;5;2;5;4;5;3;5;1;4;1;1;1;2;2;3;5;5;1
1514;A and W Root Beer;5;rugged, family orientated, classic, old fashioned, tasty;5;3;5;3;5;1;4;4;5;5;4;5;5;1;3;1;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;1;5;3;5;3;3;4;5;1
1568;Abercrombie & Fitch;7;It's about fun, playful, being in the moment. Its trendy without trying to be trendy. Comfortable;5;5;5;5;5;3;3;4;3;4;3;5;4;3;5;1;5;3;4;5;5;5;5;4;5;3;5;3;5;5;3;3;3;5;3;1;4;5;1;3;5;5;5;3;3;4;5
1648;Abercrombie & Fitch;7;I feel it's very monotone with lots of greys and neutral tones. There's a sense of hipness and monderness to it but with repeating styles.;2;3;3;4;2;3;3;2;2;3;2;2;2;2;2;2;3;2;3;2;2;4;2;3;2;4;2;1;3;2;1;4;2;2;2;3;3;3;2;3;3;2;3;2;3;3;3
1693;Abercrombie & Fitch;7;I think of preppy, snobby kids. I was one once lol. I remember vividly the smell of my Abercrombie perfume. I think of a Hamptons type vibe from the store and clothes, preppy, casual, exclusive. I have pictures of beach scenes to represent that. I have pictures of young people and friends to represent what I think their demographic is. Some artsy pictures with an instagram type filter, I really think that fits them. Basically trying to represent a young, preey girl who like instagram and all thi;3;2;4;5;5;2;3;2;4;3;4;4;1;4;2;4;5;1;4;2;2;3;3;4;4;2;3;3;3;2;2;4;3;2;3;3;4;5;1;1;5;4;4;4;1;3;5
1765;Abercrombie & Fitch;7;Abercrombie is more of a beach, preppy, popular brand.;4;5;3;5;4;4;3;5;3;5;5;4;4;4;5;4;4;3;3;4;4;4;4;5;4;3;3;5;2;4;3;5;4;4;4;5;4;4;4;4;5;4;5;4;4;3;4
1828;Abercrombie & Fitch;7;It costs too much. People that are too young for the brand want to wear it. They use half naked teens in their ads. People see to think they are sexy wearing this brand. The consumers of this brand are very self centered.;1;1;4;5;2;4;5;4;3;1;1;2;1;3;1;2;3;2;3;2;5;2;3;2;2;2;3;3;1;2;4;1;2;1;1;1;4;3;1;1;5;3;4;2;1;1;5
1885;Abercrombie & Fitch;7;I picked images that evoked a sense of fun and adventure.;4;4;4;3;5;2;5;3;4;5;3;4;3;2;3;3;5;4;3;4;4;4;4;3;3;2;4;3;3;5;4;3;3;4;3;5;3;4;2;3;4;3;4;2;3;1;5
2094;Abercrombie & Fitch;7;My collage relates to Abercrombie & Fitch because it reminds me of softness and luxury. ;5;5;5;1;5;3;4;5;5;2;5;5;2;2;3;5;5;4;5;5;3;5;5;5;5;4;5;2;5;5;3;5;1;5;2;5;5;5;1;4;5;5;5;5;1;3;3
2176;Abercrombie & Fitch;7;Abercrombie is a brand that is designed for the younger adult population who enjoy partying and having fun. It offers clothing to fit every activity from gym to a night out.;5;5;5;5;5;3;4;3;4;4;5;5;3;5;4;5;5;3;5;5;3;5;4;5;5;4;5;4;4;4;2;4;3;4;3;5;5;5;3;3;5;4;5;5;2;3;5
2197;Abercrombie & Fitch;7;The brand represents the youth and casual fashion;5;5;5;5;5;1;5;4;5;5;5;5;3;3;5;5;5;3;5;5;5;5;5;5;4;3;5;5;5;5;2;5;5;5;5;5;5;5;2;2;5;4;5;3;5;5;5
2288;Abercrombie & Fitch;7;Comfortable, casual, trendy clothes for the young at heart;4;4;4;5;4;2;3;3;4;4;4;4;4;3;4;3;4;3;3;4;4;5;3;3;4;3;4;4;4;4;3;3;3;4;3;3;4;5;2;3;4;4;4;3;3;4;5
2391;Acura;10;these are strong and stylish like Acura;2;3;2;2;4;4;2;2;4;3;4;2;2;3;1;3;2;2;4;4;4;3;2;3;3;4;2;3;3;3;2;3;4;2;4;3;3;3;4;4;3;3;3;3;4;4;4
2453;Acura;10;This is the brand of beauty and silky. This makes us to feel very royal and rick and also make us very comfortable and relaxing.;5;5;5;5;5;4;5;5;5;5;5;5;5;3;5;4;5;4;5;5;4;4;4;4;5;5;5;3;4;5;3;5;4;4;3;5;5;4;5;4;5;4;5;5;5;5;4
2570;Acura;10;Acura reminds me of fast animals and cool people.;3;3;5;5;5;4;4;3;4;3;5;5;2;3;3;4;5;4;4;4;4;5;5;5;4;4;4;2;4;5;2;5;2;3;1;5;5;5;5;3;5;4;5;4;5;3;5
2617;Acura;10;Acura is a luxury brand which I associate with success, travel, style, socializing, out on the town, cities, and good design.;1;2;4;3;2;5;2;3;2;1;3;3;5;3;2;4;4;3;5;2;2;3;3;4;5;4;2;1;3;3;1;3;2;3;1;5;2;5;3;2;2;2;4;5;3;1;1
2693;Acura;10;I conveyed the happiness that having a new Acura would inspire me to feel.;4;4;4;3;5;5;4;5;5;3;2;5;3;3;4;4;5;4;5;4;5;5;5;3;3;3;4;3;3;4;2;3;4;3;2;4;3;5;4;3;5;4;4;3;2;5;3
2700;Acura;10;engineering, safety, reliability;4;2;4;4;2;4;2;5;4;3;3;4;2;2;4;4;4;5;5;4;5;5;4;2;5;3;5;2;2;3;2;2;4;4;2;4;3;4;5;3;3;4;4;5;3;3;3
2750;Acura;10;I associate Acura with sleek and sexy. Very modern, successful, professional and attractive.;4;3;5;5;5;3;5;4;5;3;5;5;2;2;3;5;5;5;5;4;4;4;4;5;4;3;4;2;4;5;1;5;2;3;1;5;4;5;4;3;4;4;5;5;1;2;3
2785;Acura;10;Sleek, stylish, very cool;4;3;5;4;5;1;2;4;4;5;4;5;2;4;5;5;5;1;4;3;4;5;5;5;3;1;3;1;5;3;1;4;5;5;1;4;4;5;2;2;5;4;5;5;4;2;5
2796;Acura;10;luxurious and classy;4;4;5;4;4;4;5;4;4;4;5;5;4;5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;5;4;4;4;4;5;5;4;5;4;5;5;4;5;5;4;5;5;5
2968;Acura;10;Its a modern Japanese car company that is very fast and comes in a lot of different colors that men like. ;5;5;5;5;5;5;5;3;3;3;5;5;5;1;5;5;5;5;5;5;5;3;5;5;3;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;3;5;3;3;5;5
3078;Acura;10;this collage represent the peace of mind, Honda- Acura do the same thing when we go for outing. ;3;5;3;3;5;5;5;4;4;5;5;3;5;2;5;5;5;3;3;5;5;3;5;5;4;3;5;5;4;5;4;5;5;5;3;5;5;5;5;4;5;5;5;3;5;5;5
3117;Adidas;11;Adidas hasn't been a great company, they exploit cheap labor in India and other places, have had lots of law suits and just put glamorous shots up of ripped athletes and other stuff. ;1;1;4;2;2;4;2;1;1;1;1;1;1;1;2;5;2;3;3;1;1;1;3;1;4;4;1;1;1;2;1;1;1;1;1;1;2;4;3;1;3;1;1;3;5;1;1
3163;Adidas;11;sports, hard work, sporting events, and the outdoors all remind me of that brand;2;2;3;4;3;4;3;2;4;3;4;3;2;2;2;3;4;3;3;1;3;1;3;2;2;3;3;4;2;3;3;1;1;2;1;3;4;2;1;4;3;2;4;3;1;2;3
3247;Adidas;11;for special people;3;4;3;4;3;3;3;2;3;4;3;4;3;3;3;3;3;3;3;3;4;3;3;3;2;2;4;2;4;4;4;2;3;4;4;2;4;4;3;4;3;4;4;3;4;3;4
3303;Adidas;11;When I think of Adidas, I think of walking in fun places like along the lakeshore or on the beach. When I think of walking, I think of bird watching and seeing all the baby geese and ducks. I also think of exercise and staying healthy.;2;3;3;3;2;4;2;2;3;3;2;2;3;3;3;1;2;3;3;2;3;3;2;2;2;3;3;2;3;4;2;3;2;3;2;3;3;3;2;3;2;2;4;1;2;2;3
3382;Adidas;11;I think of playtime. Feeling free like a child. Rich, vibrant experiences. I feel like it symbolizes new growth.;1;3;5;4;2;2;4;4;5;4;5;4;1;3;3;1;5;5;4;4;2;5;4;1;4;3;2;5;5;4;2;3;2;4;1;3;5;5;3;4;4;3;4;2;5;2;3
3385;Adidas;11;Inspiring, active and seeks adventure. ;4;5;5;3;5;1;5;3;5;5;5;5;3;1;5;1;3;5;5;5;5;5;5;5;5;2;4;5;5;5;5;5;3;4;1;5;5;5;1;5;5;4;5;2;2;1;5
3424;Adidas;11;Very trusted foot wear.;2;4;5;4;4;4;3;4;4;4;5;4;4;3;3;3;3;4;5;5;5;4;5;3;5;3;5;4;4;4;4;5;3;4;4;3;4;4;2;4;4;4;5;4;2;4;4
3434;Adidas;11;When I think of Adidas I think of a shoe that is cheap, but that is made strong and dependable. I see it as a shoe that can take me anywhere and allow me to do anything and I see it as a shoe that allows me to walk anywhere and everywhere and feel like I am not wearing much at all. It makes me feel calm and excited all at the same time and it fills me with a sense of adventure and a sense of a well traveled and worldly brand. I think of actions such as running and walking and it brings me back t;5;5;5;3;4;3;5;4;5;5;5;4;5;4;5;3;5;4;5;5;4;4;5;5;5;5;4;5;5;5;4;5;4;5;2;5;5;5;4;5;3;4;5;2;4;5;4
3678;Adidas;11;outdoors, friends, being active.;4;4;5;3;4;3;4;3;5;2;3;4;3;4;3;2;3;4;5;3;3;2;3;4;3;2;3;2;4;4;4;3;4;4;1;4;3;3;4;3;2;3;4;4;1;3;3
3682;Adidas;11;It is young, athletic, urban, and daring. Adidas pushes you to your athletic peak and wants you to live life on the edge. ;1;2;4;3;3;2;5;2;3;4;4;4;3;2;4;1;3;2;3;4;2;4;2;2;2;3;4;5;3;3;4;2;2;3;1;2;3;3;5;5;1;2;4;1;5;4;4
3696;Adidas;11;It screams sports and active lifestyle to me. It's something that I picture people wearing while they constantly move around in the sunshine.;3;1;4;4;4;5;4;1;3;3;5;3;4;2;2;1;2;4;3;2;4;4;3;3;2;3;3;5;4;4;5;2;2;3;2;2;5;3;2;5;5;2;5;1;5;3;5
3713;Adidas;11;The seashell reminds me of shelltoe adidas style shoes. Adidas was made famous through music both rock and rap. It is an urban line and remind me of the city and older music. They are comfortable like a bed or soft chair.;2;4;5;4;5;2;2;4;5;4;3;2;1;2;5;1;5;5;5;5;2;5;2;5;5;4;5;1;5;5;4;4;1;4;1;5;5;5;1;4;5;5;3;1;4;2;4
3714;Adidas;11;I picked hiking and comfort pictures that I thought would represent shoes;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;4;2;4;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;2;2;3;2
3728;Adidas;11;I feel the pictures represent teamwork which is what Adidas is very well known for.;3;4;4;4;5;3;4;3;4;4;4;4;3;3;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;2;4;4;5;3;4;4;4;4;4;4;4;4
3883;Advil;12;pain relief;5;4;4;4;4;3;4;4;4;5;4;4;3;3;5;3;5;4;4;5;5;5;5;4;5;3;5;2;4;5;2;4;4;5;2;4;5;4;4;3;5;4;5;3;2;5;2
3909;Advil;12;helps to get relief from pain;3;4;3;4;2;3;2;4;3;2;2;3;3;2;3;3;3;2;4;4;4;3;3;3;4;2;3;3;3;3;2;2;4;3;2;4;4;2;4;3;3;3;3;3;4;3;3
4007;Advil;12;When I think of Advil I think of being pain free, happy and calm.;4;4;4;4;5;2;3;2;3;5;2;3;5;2;4;1;3;5;5;5;2;2;2;4;3;3;4;1;4;5;1;4;3;4;1;4;4;5;2;4;3;2;5;2;3;4;2
4038;Advil;12;Advil gives peace, peace of mind, freedom, relaxation, and tranquility.;2;1;4;1;2;1;1;1;1;1;1;1;1;1;3;1;2;4;4;3;1;1;1;3;1;1;1;1;3;4;1;4;1;3;1;4;1;4;1;4;1;1;1;1;1;1;1
4170;Advil;12;The doctors and the herbs used to make advil. ;3;3;1;4;1;2;1;1;1;4;2;2;3;2;3;4;4;4;3;1;4;3;3;3;2;3;3;2;3;1;3;3;3;5;3;3;1;2;4;4;4;1;2;2;3;5;4
4172;Advil;12;Relief to pain that you are having so that you can keep doing stuff. ;4;4;4;4;4;5;5;4;4;3;5;4;3;3;2;4;1;4;2;4;5;4;2;3;4;2;5;5;4;4;1;5;5;4;4;4;4;4;4;4;4;4;2;4;5;3;5
4190;Advil;12;It's essential to the the kind of pain only a woman experiences.;3;3;4;2;3;2;2;3;3;2;2;2;3;4;3;3;3;4;2;2;3;2;2;3;2;1;3;1;4;4;1;3;3;2;2;3;3;4;2;2;2;2;2;2;3;3;2
4338;Advil;12;A popular use of Advil is for headaches.  Work, stress, traffic can cause headaches, while calm and rest are associated with relief.;1;1;1;1;1;2;1;1;1;3;1;1;2;1;3;1;1;3;4;3;1;1;1;1;2;1;2;1;3;4;1;3;1;1;2;2;1;4;1;1;1;1;2;1;1;1;1
4372;Advil;12;I relate Advil to comfort or being comforted, sleeping comfortably, the comforts of home.;3;3;5;4;1;2;2;3;3;5;3;1;5;2;5;2;4;5;4;5;2;4;4;4;4;2;4;1;5;5;1;5;3;5;2;5;1;5;3;2;1;3;4;1;1;5;1
4450;Advil;12;I relate Advil with relief from pain, which includes being able to sleep/rest peacefully, to enjoy nature, and to be active again.;2;3;5;3;4;2;3;2;3;4;4;2;3;2;4;2;3;5;5;4;2;5;2;4;3;2;2;4;4;5;4;5;2;4;3;3;4;5;2;5;2;2;2;3;1;4;3
4473;Advil;12;Advil takes the pain out of things.  I tried to represent this with the colors, to me red is hurting, and blue is pain free.  All the activity pictures show things that people do that may cause a injury or things that pain will keep them from doing.  I showed the smile on the dog's face to show how we feel after our pain is gone!  The different parts of the body show all the different places that pain can be felt.  THe sports pictures show how happy we are to do what we love, and Advil helps peo;5;4;4;3;5;2;4;4;5;4;4;4;4;3;5;2;5;5;5;5;4;5;5;2;4;5;5;5;5;5;5;4;5;5;2;3;5;5;3;5;4;5;3;2;1;5;2
4500;Advil;12;the grandma and grandpa because old people take it a lot, the back picture because its used for back pain, the skull for head aches, the muscles for muscle aches, the hospital and doctors because they give it to pateints, the counter because its over the counter, the flower for the logo, the couch because whenever i imagine people taking it, they sleep on the couch;1;1;3;3;1;4;1;2;3;3;3;2;1;1;1;1;1;3;3;3;1;3;3;3;4;1;3;1;3;2;1;3;1;3;1;3;1;4;3;1;2;2;3;1;3;3;1
4502;Advil;12;Advil relieves the pain and lets you get back to your day working or enjoying your life.;1;1;3;1;1;1;1;1;2;2;1;1;1;1;1;1;1;3;3;2;1;2;1;1;3;1;1;4;3;3;4;2;1;1;3;1;1;1;1;4;2;1;1;1;1;1;1
109;Aeropostale;13;They are typically located in malls, they have a lot of photography of models in their stores, and a lot of popular people shop there.;4;4;3;4;5;4;3;2;4;4;3;3;3;4;4;4;4;3;4;4;3;4;3;4;3;3;3;2;4;4;2;4;4;3;2;4;3;4;2;2;5;3;5;5;2;3;5
114;Aeropostale;13;Its as store known for clothing for teen and collage age males and females, They have a lot of products that uses many different fabrics. They are known as an all- american store that you usually find in a mall setting.;3;4;4;5;3;3;4;2;3;3;3;3;3;4;4;2;4;2;3;2;2;2;2;3;2;2;2;1;2;4;1;3;1;4;2;2;4;4;1;1;3;2;4;3;1;3;5
148;Aeropostale;13;Aeropostale is a fun brand that has clothing for everyone. I think it has a vibrant color selection and is a good balance of casual and quality. I think people who wear Aeropostale enjoy different activities. It's also a brand the I associated with malls because it's was one of the stores I would always to have to visit when I went to the mall.;3;4;5;4;4;3;2;3;4;3;4;3;3;4;5;2;4;4;4;4;3;4;3;4;3;4;3;4;3;4;2;4;2;4;2;3;4;4;2;2;4;3;4;3;4;4;5
204;Aeropostale;13;Aeropostale represents youth and color. Aeropostale reminds me of styles that are in with younger people and teenagers. It reminds me of being trendy and color. ;2;3;3;4;4;3;2;2;3;3;3;3;2;2;3;2;4;1;3;2;2;2;3;3;3;2;2;1;2;3;1;3;1;3;1;2;3;2;1;2;5;2;4;1;1;2;5
312;Aeropostale;13;that they are fun, youthful, comfortable and cutting edge;3;4;5;5;4;3;3;3;4;4;5;5;3;1;5;2;5;3;5;4;3;4;4;4;3;1;4;1;4;5;1;5;2;5;1;4;2;4;2;2;4;3;5;3;5;4;5
340;Aeropostale;13;It is an All American brand with youth and charisma.;5;4;5;5;5;3;3;3;3;5;3;4;4;3;5;2;5;2;5;4;4;3;3;3;4;3;3;5;4;4;3;5;4;4;4;5;5;5;2;2;5;3;5;4;3;3;5
546;Aeropostale;13;Since Aeropostale is a clothing line aimed towards young people, I looked for pictures that represented people of that demographic, including pictures of young people.  I also looked for things representing youth - like the kitten - and bold colors and graffiti-type art.;3;4;5;4;4;2;3;3;3;2;3;3;2;2;4;2;3;3;3;3;5;3;3;3;3;2;4;2;3;3;1;4;2;3;1;3;4;4;2;2;5;4;5;2;1;4;5
616;Aeropostale;13;Since a lot of high school and college students wear Aeropostale, I decided to make a collage with some of those kinds of activities.;2;5;3;2;2;5;1;1;1;2;2;2;1;2;4;1;2;1;2;3;1;1;1;2;2;2;1;1;2;4;1;2;4;2;1;1;3;2;1;1;3;1;2;2;1;1;5
733;Aeropostale;13;Its a bright and modern American clothing company with a variety of options to choose from. ;1;5;1;5;5;5;1;1;5;5;1;3;5;3;5;1;1;3;1;5;5;1;1;1;5;3;1;1;5;5;1;5;1;5;1;5;3;1;1;5;1;5;3;5;1;5;5
739;Aeropostale;13;"Aeropostale reminds me of my times in middle school where all of the ""popular"" kids who were wealthy wore Aeropostale. In addition to the shirts, I also remember the seashell necklaces that the students use to wear.";1;3;1;4;1;4;1;1;1;1;3;1;4;3;3;1;2;1;2;2;2;1;1;1;3;1;1;1;2;3;1;3;1;2;1;1;2;2;1;1;4;1;4;1;5;3;5
860;Ajax;17;When you clean with Ajax, your goal is to have beautiful results that allude to freshness, brightness, and feelings of being pristine. This collage represents those emotions. ;3;3;5;3;3;3;5;3;4;5;3;3;5;3;4;2;3;5;4;5;3;4;4;3;4;3;3;2;5;5;5;4;3;4;3;2;3;5;4;5;3;4;4;2;3;4;3
862;Ajax;17;I feel like because my house is clean, it is inviting to guests. Everything shines and is elegant and exciting. I picked the hands to show everyone at my house and the diamond to show how put together I feel when my house is clean. ;5;2;5;3;4;3;2;1;2;4;2;1;5;3;5;2;5;5;5;5;3;2;2;3;3;2;4;1;4;5;1;5;4;5;1;5;1;5;1;5;2;2;2;1;2;4;2
933;Ajax;17;This collage is reflection of clean environment like Ajex product characteristics ;2;2;3;3;3;3;3;3;2;3;2;2;5;2;4;2;3;4;3;2;3;2;3;2;4;2;4;1;4;3;3;3;3;2;2;2;2;4;3;3;2;3;4;3;2;3;3
1016;Ajax;17;clean, water, comfort, sparkling;1;3;5;2;1;5;1;4;4;5;4;1;3;1;5;1;3;5;5;3;1;5;3;5;5;3;4;1;5;5;5;4;3;3;3;1;1;4;1;5;1;4;3;1;3;3;1
1078;Ajax;17;Ajax makes me think of a beautiful clear lake. Ajax also makes me think of bubbles. It also makes me think of citrus fruits and family.;4;5;4;1;3;2;2;1;2;3;4;3;5;1;5;3;4;5;3;4;4;3;2;4;1;1;3;3;5;4;4;3;3;4;1;2;3;5;1;5;2;1;3;2;1;4;4
1177;Ajax;17;It represents strong, fresh, and dependable.;1;3;5;4;1;1;2;3;5;5;5;2;3;1;2;1;2;5;5;5;4;3;2;3;5;5;5;4;5;5;5;5;3;4;1;2;2;5;1;5;2;3;4;2;3;3;2
1210;Ajax;17;the color white because ajax is a powdered bleach, family because you clean for your family, toys because ajax is an older product so it reminds me of when I was a child, relaxation because your tired after cleaning.;3;3;4;3;1;1;1;3;4;4;1;1;4;3;4;1;2;5;4;5;3;4;2;4;3;3;3;1;5;5;3;4;4;5;3;1;3;5;1;5;1;3;3;1;1;3;1
1316;Ajax;17;Ajax is a good cleaner. I think of being in a cool and crisp space when I have a clean space. I love the picture of a place being clean and it makes me happy.;4;4;4;3;4;1;2;4;4;4;4;3;4;3;4;2;3;4;4;5;3;4;4;4;3;2;5;3;4;4;5;4;3;4;4;3;3;4;3;4;3;4;4;1;4;4;1
1380;Ajax;17;My collage focuses on mothers who use the product and the clean colors of blue and white. ;1;1;1;1;1;1;1;1;1;3;1;1;5;4;1;1;1;5;1;1;1;1;1;1;2;1;1;1;2;3;1;1;1;1;1;1;1;2;5;2;1;1;1;1;1;3;1
1432;Ajax;17;all picher in ajax in bacrond collicing in good ;2;2;3;3;4;3;3;3;2;5;3;3;4;5;4;3;4;2;2;3;3;4;2;3;4;4;3;2;4;5;3;4;4;2;5;2;4;3;4;2;3;2;4;5;4;3;3
1555;Albertsons;20;Albertsons gives off a vibe of an older, simpler brand like the people or settings in this collage. I also feel crowded in Albertson's, hence the crowds in the collage. The child in the picture represents a safe family atmosphere.;3;4;3;1;2;1;1;1;2;5;1;1;5;1;5;1;3;5;3;5;1;5;1;3;2;1;1;4;5;5;2;4;5;5;5;1;3;4;1;1;1;1;2;1;4;5;1
